title,not discounted price,discount,price,developer,extraction date
Evil West,50€,-24%,37.99€,Flying Wild Hog,2022-11-22 22:44:39.715645
Marvel’s Spider-Man: Miles Morales,50€,-31%,34.49€,Insomniac GamesNixxes Software,2022-11-22 22:44:40.831153
Pokémon Violeta Switch - Europe,60€,-7%,55.99€,GAME FREAK inc.,2022-11-22 22:44:41.982325
Pokémon Escarlata Switch - Europe,60€,-7%,55.99€,GAME FREAK inc.,2022-11-22 22:44:43.100047
Call of Duty: Modern Warfare II Cross-Gen Bundle (Xbox ONE / Xbox Series X|S),80€,-21%,62.99€,Infinity WardRaven SoftwareBeenoxTreyarchHigh Moon StudiosSledgehammer GamesActivision ShanghaiDemonwareToys for Bob,2022-11-22 22:44:44.455801
FIFA 23: 2800 FUT Points,25€,-20%,19.99€,EA Canada & EA Romania,2022-11-22 22:44:45.843608
The Dark Pictures Anthology: The Devil in Me - Europe,40€,-25%,29.89€,Supermassive Games,2022-11-22 22:44:48.545748
Just Dance 2023 Edition Switch - Europe,60€,-51%,29.49€,Ubisoft,2022-11-22 22:44:49.595086
Marvel's Spider-Man Remastered,60€,-47%,31.99€,Insomniac GamesNixxes Software,2022-11-22 22:44:50.735193
Football Manager 2023 - Europe, 60€,-30%,41.79€,Sports Interactive,2022-11-22 22:44:51.805714
FIFA 23,70€,-26%,51.49€,EA Canada & EA Romania,2022-11-22 22:44:52.995587
Farming Simulator 22 - Platinum Expansion,20€,-33%,13.49€,Giants Software,2022-11-22 22:44:54.128689
FIFA 23: 5900 FUT Points,50€,-16%,41.89€,EA Canada & EA Romania,2022-11-22 22:44:55.246636
FIFA 23: 12000 FUT Points,100€,-20%,79.69€,EA Canada & EA Romania,2022-11-22 22:44:56.435562
Los Sims 4 Años High School,40€,-28%,28.79€,Maxis,2022-11-22 22:44:57.702656
Frozen Flame,30€,-49%,15.29€,Dreamside Interactive,2022-11-22 22:45:00.130677
Farming Simulator 22 Platinum Edition,40€,-31%,27.49€,Giants Software,2022-11-22 22:45:01.263042
Hogwarts Legacy Deluxe Edition - Europe,70€,-21%,55.19€,Avalanche Software,2022-11-22 22:45:02.783674
Football Manager 2023 (Multi-Platform) - Europe,60€,-43%,34.29€,Sports Interactive,2022-11-22 22:45:03.952063
Mount & Blade II: Bannerlord,50€,-44%,27.90€,TaleWorlds Entertainment,2022-11-22 22:45:05.034188
FIFA 23: 2800 FUT Points (Xbox ONE / Xbox Series X|S) - Europe,25€,-20%,19.99€,EA Canada & EA Romania,2022-11-22 22:45:06.810978
FIFA 23: 12000 FUT Points (Xbox ONE / Xbox Series X|S) - Europe,100€,-25%,74.69€,EA Canada & EA Romania,2022-11-22 22:45:07.866760
FIFA 23: 5900 FUT Points (Xbox ONE / Xbox Series X|S) - Europe,50€,-20%,39.99€,EA Canada & EA Romania,2022-11-22 22:45:09.300695
F1 Manager 2022 - Europe,55€,-53%,25.69€,Frontier Developments,2022-11-22 22:45:11.082135
WRC Generations Fully Loaded Edition,46€ ,-45%,25.49€,KT Racing,2022-11-22 22:45:12.397711
Evil West (Xbox ONE / Xbox Series X|S) - Europe,50€,-4%,47.99€,Flying Wild Hog,2022-11-22 22:45:13.414235
Goat Simulator 3 - Europe,30€,-34%,19.69€,Coffee Stain Studios,2022-11-22 22:45:14.748339
Victoria 3,50€,-36%,31.99€,Paradox Development Studio,2022-11-22 22:45:15.850647
Uncharted Legacy of Thieves Collection - Europe,50€,-33%,33.49€,Naughty Dog LLCIron Galaxy Studios,2022-11-22 22:45:16.897828
Call of Duty: Modern Warfare II Vault Edition (Xbox ONE / Xbox Series X|S),110€,-21%,86.49€,Infinity WardRaven SoftwareBeenoxTreyarchHigh Moon StudiosSledgehammer GamesActivision ShanghaiDemonwareToys for Bob,2022-11-22 22:45:18.283941
F1 22,60€,-43%,34.49€,Codemasters,2022-11-22 22:45:19.609790
Beyond The Wire,30€,-90%,2.92€,Redstone Interactive,2022-11-22 22:45:22.620496
Construction Simulator Extended Edition,40€,-27%,29.29€,weltenbauer. Software Entwicklung GmbH,2022-11-22 22:45:23.748418
Cities: Skylines - Plazas & Promenades,15€,-42%,8.68€,Colossal Order Ltd.,2022-11-22 22:45:25.177496
Sonic Frontiers - Europe,60€,-19%,48.49€,Sonic Team,2022-11-22 22:45:26.430910
NBA 2K23 - Europe,60€,-48%,31.25€,Visual Concepts,2022-11-22 22:45:27.646603
Land of the Vikings - Europe,20€,-35%,12.99€,Laps Games,2022-11-22 22:45:39.549967
Crisis Core – Final Fantasy VII - Reunion - Europe,50€,-27%,36.49€,"TOSE CO., LTD.Square Enix",2022-11-22 22:45:40.660498
Crusader Kings III: Friends & Foes, 5€,-42%,2.88€,Paradox Development Studio,2022-11-22 22:45:42.159382
God of War: Ragnarök (PS4 / PS5) - Europe,80€,-4%,76.97€,Santa Monica Studio,2022-11-22 22:45:43.409077
Los Sims 4 Clean & Cozy,15€,-43%,8.56€,Maxis,2022-11-22 22:45:44.890479
Need for Speed Unbound,70€,-29%,49.99€,Criterion Games,2022-11-22 22:45:45.969452
Victoria 3 Grand Edition,80€,-44%,44.59€,Paradox Development Studio,2022-11-22 22:45:47.229329
Destiny 2: Eclipse + Pase anual,100€,-31%,68.69€,Bungie,2022-11-22 22:45:48.800462
SpiderHeck,15€,-45%,8.29€,Neverjam,2022-11-22 22:45:50.414216
A Plague Tale: Requiem,50€,-30%,34.99€,Asobo Studio,2022-11-22 22:45:51.461541
Persona 5 Royal - Europe,60€,-18%,49.02€,ATLUS,2022-11-22 22:45:53.985002
FIFA 23: 1600 FUT Points,15€,-13%,12.99€,EA Canada & EA Romania,2022-11-22 22:45:55.256248
FIFA 23: 1050 FUT Points,10€,-10%,8.99€,EA Canada & EA Romania,2022-11-22 22:45:56.379258
Cities: Skylines - Content Creator Pack: Seaside Resorts,6€,-33%,3.99€,Geze,2022-11-22 22:45:57.660054
Resident Evil Village - Expansión de los Winters,20€,-28%,14.49€,"CAPCOM Co., Ltd.",2022-11-22 22:45:58.919070
Planet Zoo: Twilight Pack,10€,-26%,7.37€,Frontier Developments,2022-11-22 22:46:00.094712
Police Simulator: Patrol Officers,30€,-27%,21.99€,Aesir Interactive,2022-11-22 22:46:01.108813
The Elder Scrolls Online Collection: High Isle,60€,-75%,14.99€,Zenimax Online Studios,2022-11-22 22:46:02.212668
Floodland,30€,-27%,21.99€,Vile Monarch,2022-11-22 22:46:05.309010
Chivalry 2,36€,-61%,14.19€,Torn Banner Studios,2022-11-22 22:46:06.575738
Dinkum,17€,-29%,11.99€,James Bendon,2022-11-22 22:46:08.916836
Asterigos: Curse of the Stars,35€,-49%,17.69€,Acme Gamestudio,2022-11-22 22:46:14.405687
